107,160,2000000
10760,8060,2000000
5927,8739,2000000
9242,7219,2000000
6753,8932,2000000
6602,8960,2000000
1013,2914,2000000
5316,5187,2000000
2554,3011,2000000
2511,1503,2000000
6193,772,2000000
4998,1855,2000000
8591,4888,2000000
6239,5450,2000000
9365,2455,2000000
7421,9293,2000000
4240,1032,2000000
8350,1132,2000000
944,6816,2000000
7670,2008,2000000
4984,889,2000000
6692,1004,2000000
725,3069,2000000
9943,7163,2000000
8896,7729,2000000
7627,1464,2000000
5300,9241,2000000
4316,7153,2000000
6175,7170,2000000
6225,1897,2000000
5272,1183,2000000
10250,6564,2000000
4905,6939,2000000
6106,1042,2000000
485,1548,2000000
50,3879,2000000
4586,6900,2000000
5186,5854,2000000
6804,1073,2000000
1114,8454,2000000
3148,9441,2000000
4117,8073,2000000
2634,5281,2000000
3907,4284,2000000
6818,268,2000000
4818,930,2000000
6312,6105,2000000
4585,4595,2000000
7595,1953,2000000
5184,3534,2000000
1963,914,2000000
4427,1024,2000000
9189,4736,2000000
3877,5373,2000000
3225,1258,2000000
2430,3145,2000000
7094,1965,2000000
6742,186,2000000
10124,2803,2000000
6403,3883,2000000
567,8817,2000000
5990,1580,2000000
4366,8549,2000000
4847,344,2000000
9347,1578,2000000
1155,4909,2000000
10407,8615,2000000
8773,6949,2000000
1313,7496,2000000
1970,8442,2000000
3115,2516,2000000
10273,7109,2000000
3205,6637,2000000
2090,1247,2000000
5230,3356,2000000
3996,6873,2000000
10522,6562,2000000
10325,5869,2000000
1805,8619,2000000
10531,5906,2000000
137,5319,2000000
9213,734,2000000
5373,4606,2000000
3403,3695,2000000
8200,7897,2000000
81,8164,2000000
4337,7672,2000000
6856,5811,2000000
3703,5358,2000000
7096,2492,2000000
6812,5316,2000000
1390,1052,2000000
3905,7513,2000000
6673,1654,2000000
4680,1487,2000000
3853,8916,2000000
8889,4382,2000000
7916,4861,2000000
2994,4323,2000000
7980,4354,2000000
6865,8544,2000000
10218,4401,2000000
3834,8888,2000000
1745,4713,2000000
7291,1927,2000000
3162,7758,2000000
10012,7110,2000000
8612,3604,2000000
8296,777,2000000
3698,601,2000000
797,9139,2000000
9740,8206,2000000
810,8938,2000000
7989,9405,2000000
9211,200,2000000
1409,5098,2000000
7272,2158,2000000
1510,2652,2000000
9556,7778,2000000
8230,3630,2000000
6380,5456,2000000
5432,284,2000000
6183,3657,2000000
1664,9375,2000000
7400,3087,2000000
1934,6025,2000000
3953,4276,2000000
1455,8288,2000000
1197,7096,2000000
392,8823,2000000
325,6332,2000000
2064,8446,2000000
4058,6775,2000000
6442,3788,2000000
7599,3410,2000000
134,4193,2000000
5218,6597,2000000
8144,1384,2000000
10061,6051,2000000
9285,1402,2000000
